酒店名称,酒店真名,用户名,个人评分,评论日期,评论详情
H01,北京凤凰台饭店,M470424****,5,2021年4月23日发布,非常满意，装修稳重精细低调有质感，房间安静宽敞，淋浴很舒服五金不错，早餐丰盛可口，性价比高，服务也挺好，下次有机会还会选。
H01,北京凤凰台饭店,醉双溪,5,2021年4月26日发布,酒店位置很好，交通很方便！地铁站大概900m。早餐很不错。酒店环境很好，很安静，房间很干净舒适，设施齐全！服务特别好，非常感谢酒店前台的金连丹女士，我们订的诗情画意大床房没有房间了，免费帮我们升级了套房，强烈推荐这家酒店！
H01,北京凤凰台饭店,_M1370191****,5,2021年5月3日发布,此酒店位于广安门外大街3号，离7号线达宫营地铁站960米，门口有多辆公交车，到北京各大火车站都很方面，特别到北京西站很近和南站更加方便。早餐为中西餐，品种较丰富，酒店两楼有淮扬菜餐厅，准扬菜很正宗，就是价格小贵。酒店没施也很满意，价有所值。
H01,北京凤凰台饭店,元页,4.5,2021年3月13日发布,酒店在广安门外，紧挨着主路，交通方便。疫情期间酒店需要7日内核酸证明，健康宝和行程码，预定完后酒店工作人员会主动打电话提醒。酒店办理入住还是很快的，本来房间在14层，给升级到了11层的房间，免得爬楼梯了，挺好！酒店的设施有些旧了，有一些年代感，房间和楼道里铺的地毯，踩着很舒服，因为装潢有些旧，感觉房间内的地毯不是那么干净。酒店有两个最大的优点，一是房间的隔音做的很好，窗户是双层窗户，晚上很安静，这是一般快捷酒店所不能比的。第二是酒店的早餐很丰富而且味道很好，油条能让人吃出香的味道，这点很满意，当然就餐环境也很好，不比一些四星酒店差。
H01,北京凤凰台饭店,1360372****,3.5,2021年4月11日发布,时隔一天，再次入住“凤凰台饭店”14层，我真不知道“凤凰台饭店”还有这么一层，总台的服务员也未提醒，电梯到12层后需要自己背着包、提着箱子、拿着提袋再走一层楼梯… 早餐依然丰盛，餐厅服务员热情周到。 本次北京出差我是分两段入住的，11日离店前上午8：10我提前到总台开发票，也许是总台女服务员不熟悉业务，在电脑上怎么也查不到我前8日至9日的入住的记录…，最终在预订部的女同事帮助下总算找到了！
H01,北京凤凰台饭店,M465234****,5,2021年5月3日发布,五一北京旅游，一开始预定了京伦饭店，后来因为时间问题导致离京晚了一天，然后预定了凤凰台酒店。 评价如下: 位置:五星优秀 服务:优秀（小温，小韩服务优秀） 进:天安门广场
H01,北京凤凰台饭店,M469211****,5,2021年4月27日发布,没吃早餐，不知道怎么样，服务员对孩子很友好，因为孩子不懂事，总是没事就往前台拨电话，前台很耐心询问孩子有什么需要帮助的，退房时还送了孩子小礼物。酒店位置还算可以，离达官营站刚好一站路，一步路都不想走的人可以在门口坐一路公交就到地铁站。离西站和牛街都不远，关键还比较安静。标间很面积很大，住着舒服，洗澡也特别棒，浴缸和淋浴间分离的，床和被褥也很舒服。总之，这次的房间订的非常满意。实在没照片，大家凑合着看吧
H01,北京凤凰台饭店,D2873****,4.3,2021年4月27日发布,第三次来北京旅游 这家酒店还算在市区，机场打车过来一个多小时到。 回去的时候，打车到机场专线站起步费还可以，直达T2 t3还算方便。 卫生还行，装修有点旧了，但是是干净的，房间一开始有点点味道，开窗通风一会就好了。 前台好像不是电脑办入住，稍微有点慢，态度一般般。 其他都还行，性价比高，但是最重要的一点，隔音不好，隔壁正常音量讲话，听得非常非常非常清楚，还是大白天的！
H01,北京凤凰台饭店,_CFT0284706****,3.3,2021年4月11日发布,之前经常周末入住本酒店，但是这次的房间跟以前相比着实差点意思，洗澡的时候竟然发现身体乳是别人用过的，打扫卫生的时候没有做到一客一换。但是服务态度还是以往的水准，以后还会来入住，希望这个评论能给店家提个醒
H01,北京凤凰台饭店,弦月伴墨,4.8,2021年4月6日发布,大堂的前台很好真不错因为带小孩定的房间需要走楼梯不方便 大堂值班的还带着挨个房间挑选一下 服务很周到 最后选的房间也很满意 餐厅也不错服务因为带小孩一直闹不下来吃早饭都是在餐厅打包的可能是因为周末的原因吧吃的不是很齐全 去的晚了会少一些不过正常工作日来了吃的不错都挺好 我家人还夸了说吃的不错 客房搞卫生的阿姨也不错每天给换新的矿泉水 我们出去玩回来都收拾的很立正 不过有一个可以改进的就是像我这种抱小孩进进出出的能够帮开一下门就更好了 不过酒店很满意位置可以在市里边比差不多的价钱对比快捷酒店这个好的太多了
